# mih_speaker 발행 목록 (총 101건)
No	발행일	인물/키워드	logNo	제목
27	2026-04-28	이호선	224284519070	[이호선 교수 섭외] 가족 상담 전문가, 기업 특강·부부 소통·시니어 아카데미 섭외
28	2026-05-14	장성규	224285710103	[장성규 섭외] JTBC 아나운서 출신 워크맨 MC, 기업 행사 진행·MZ세대 강연·콘텐츠 특강 섭외
29	2026-04-28	궤도	224285710839	[궤도 섭외] 과학 커뮤니케이터, 기업 특강·청소년 진로교육 섭외
30	2026-05-05	안정환	224285711518	[안정환 강연 섭외] 2002 월드컵 골든골 전설, 기업 도전 특강·청소년 꿈 강연·신년 행사 섭외
31	2026-05-15	션	224286766942	[션 섭외] 누적 65억 기부의 선행왕, 기업 동기부여 특강·ESG 강연·청소년 꿈 강연 섭외
32	2026-05-15	노홍철	224286776911	[노홍철 섭외] 긍정의 아이콘 홍철책빵 대표, 기업 동기부여 특강·청년 강연·콘텐츠 토크 섭외
33	2026-05-16	곽재식	224287555413	[곽재식 섭외] KAIST 출신 SF 작가·환경공학 교수, 과학 특강·대학 강연·문화 행사 섭외
34	2026-05-16	박웅현	224287556707	[박웅현 섭외] 대한민국 대표 광고인·인문학 강연자, 창의력·조직문화·독서 특강 섭외
35	2026-05-16	정은표	224287557137	[정은표 섭외] 배우의 삶과 자녀교육 철학, 기업 특강·부모교육·동기부여 강연 섭외
36	2026-05-17	강문경	224289233369	[강문경 섭외] 트롯신 우승·뽕신·아버지의 강, 지역 축제·기업 행사·트로트 콘서트 섭외
37	2026-05-16	팽현숙	224289234213	[팽현숙 섭외] 개그우먼·CEO·요리사, 열정과 도전으로 완성한 창업·동기부여 강연 섭외
38	2026-05-16	함경식	224289251521	[함경식 섭외] 26년 경력 메이크업 아티스트, K-뷰티 트렌드·아티스트 브랜딩 강연 섭외
39	2026-05-16	서동주	224289253181	[서동주 섭외] MIT·와튼스쿨·미국 변호사, 공부법·자기계발·경력재설계 강연 섭외
40	2026-05-15	최인아	224289504038	[최인아 섭외] 광고계 전설·최인아책방 대표, 기업 일과 삶 특강·여성 리더십·인문학 강연 섭외
41	2026-04-24	하정우	224289512743	[하정우 AI 수석 섭외] 대한민국 AI 컨트롤타워가 말하는 AI 특강 · 임직원 교양 · 미래 전략 컨퍼런스
42	2026-04-27	이기용	224289515056	[이기용 대표 섭외] 블로그·SNS 마케팅 전문가, 기업 교육·소상공인 특강·공공기관 강연 섭외
43	2026-05-19	철가방요리사	224290685748	[철가방요리사 섭외] 고아원 출신 흑백요리사 스타 셰프, 기업 동기부여 강연·외식업 컨퍼런스·청소년 특강 섭외
44	2026-04-28	조용민	224290688572	[조용민 대표 섭외] AI 시대 일하는 법, 기업 특강·공공기관 포럼 섭외
45	2026-05-05	심재용	224290689698	[심재용 섭외] 설득 협상 전문가, 기업 교육·세일즈 특강 섭외
46	2026-05-05	김경순	224290691067	[김경순 섭외] 한약사 건강식재료 전문가, 기업·평생교육 특강 섭외
47	2026-05-20	장도연	224291998387	[장도연 섭외] KBS 공채 개그우먼·살롱드립2 MC, 기업 행사 진행·동기부여 강연·토크콘서트 섭외
48	2026-05-19	노희영	224291998778	[노희영 섭외] 200개 브랜드 만든 대한민국 브랜딩 큰손, 기업 마케팅·브랜딩·창업 강연 섭외
49	2026-05-21	김영하	224292739880	[김영하 섭외] 살인자의 기억법·여행의 이유 베스트셀러 작가, 기업 글쓰기·창의성·동기부여 강연 섭외
50	2026-05-20	이광민(강연)	224292740528	[이광민 강연 섭외] 이혼숙려캠프 정신건강의학과 전문의, 기업 멘탈헬스·관계 심리학·자기계발 강연 섭외
51	2026-05-21	서경덕	224292748659	[서경덕 섭외] 뉴욕타임즈 독도 광고 한국 알리미, 기업 글로벌 홍보·K-콘텐츠·동기부여 강연 섭외
52	2026-05-22	최재붕	224293903771	[최재붕 섭외] 포노 사피엔스 저자·AI 혁명 전문가, 기업 AI 특강·디지털 전환·임직원 교육 섭외
53	2026-05-22	최재천	224293904707	[최재천 섭외] 통섭의 생물학자·이화여대 석좌교수, 기업 인문학 특강·생명·환경 강연 섭외
54	2026-05-22	박찬호	224294274121	[박찬호 섭외] MLB 최다승 아시아인·도전의 아이콘, 기업 동기부여 특강·스포츠 컨퍼런스·청소년 강연 섭외
55	2026-05-23	홍춘욱	224294500576	[홍춘욱 섭외] 프리즘투자자문 대표 이코노미스트, 기업 경제 특강·임원 세미나·투자자 포럼 섭외
56	2026-05-23	김창옥	224294500957	[김창옥 섭외] 한국인이 가장 사랑하는 소통 전문가, 기업 특강·조직문화·토크콘서트 섭외
57	2026-05-23	오은영	224294501319	[오은영 섭외] 금쪽같은 내새끼 소아정신과 전문의, 기업 특강·학부모 강연·가족 문화 행사 섭외
58	2026-05-23	최태성	224295081777	[최태성 섭외] 역사 강사의 아이콘 큰별쌤, 기업 인문학·역사 특강·조직문화 강연 섭외
59	2026-05-23	김상균	224295082132	[김상균 섭외] 메타버스·AI·게이미피케이션 석학, 기업 혁신 특강·미래전략·조직변화 강연 섭외
60	2026-05-23	허태균	224295082492	[허태균 섭외] 고려대 심리학과 교수, 한국인 심리·의사결정·리더십 기업 특강 섭외
61	2026-05-23	김난도	224296224820	[김난도 섭외] 트렌드 코리아 저자·서울대 소비자학과 교수, 기업 트렌드 특강·신년 전략 강연 섭외
62	2026-05-23	이정동	224296225266	[이정동 섭외] 서울대 산업공학과 교수·축적의 시간 저자, 기업 혁신 특강·R&D 전략·공학 리더십 강연 섭외
63	2026-05-23	박경철	224296225824	[박경철 섭외] 시골의사·인생 통찰가, 기업 동기부여 특강·자기혁명·경제 인사이트 강연 섭외
64	2026-05-23	채사장	224296226357	[채사장 섭외] 지대넓얕 저자·철학 인문학 강연가, 기업 지적 성장 특강·독서 경영·조직문화 강연 섭외
65	2026-05-23	이시형	224297160461	[이시형 섭외] 세로토닌 박사·국민 정신과 의사, 기업 멘탈헬스·행복 특강·힐링 강연 섭외
66	2026-05-23	한비야	224297160891	[한비야 섭외] 바람의 딸·이화여대 교수, 기업 도전·봉사·글로벌 동기부여 강연 섭외
67	2026-05-26	정승제	224297677455	[정승제 섭외] 수포자 910만 명의 수학 교육 전문가, 학부모 특강·교육 동기부여·학교 강연 섭외
68	2026-05-27	설민석	224298312649	[설민석 섭외] 대한민국 대표 역사 강사, 기업 특강·인문학 강연·리더십 교육 섭외
69	2026-05-27	이수정	224298313306	[이수정 섭외] 범죄심리학자 프로파일러, 기업 특강·안전 교육·리더십 강연 섭외
70	2026-05-27	장동선	224298344306	[장동선 섭외] 뇌과학자가 전하는 AI·미래·창의성, 기업 특강·컨퍼런스·리더십 강연 섭외
71	2026-05-27	심리상담강사섭외	224299093336	[심리상담강사섭외] 기업 특강·힐링캠프·리더십 행사에 맞는 강사 섭외 가이드
72	2026-05-27	하지현	224299093857	[하지현 섭외] 직장인 심리·번아웃·힐링 강연, 기업 특강 및 리더십 교육 섭외
73	2026-05-27	이국종	224299095028	[이국종 섭외] 골든아워 저자·외상외과 전문의, 기업 특강·의료 강연·리더십 강연 섭외
74	2026-05-27	기업강연섭외	224300278756	[기업강연섭외] 기업 행사·워크숍·시무식에 맞는 강사 섭외 가이드
75	2026-05-27	이은정	224300279313	[이은정 섭외] 우주·AI·과학을 대중의 언어로, 기업 강연·ESG 포럼·과학 문화 행사 섭외
76	2026-05-27	동기부여강사섭외	224300279783	[동기부여강사섭외] 기업 시무식·워크숍·리더십 행사에 맞는 동기부여 강연 섭외
77	2026-05-27	권일용	224300280333	[권일용 섭외] 대한민국 1호 프로파일러, 기업 특강·범죄심리·안전교육 강연 섭외
78	2026-05-29	MC섭외	224301275462	[MC섭외] 기업 행사·시상식·콘퍼런스 사회자 섭외 가이드
79	2026-05-29	최진석	224301275847	[최진석 섭외] 노자·장자 철학으로 생각하는 힘, 기업 특강·리더십·인문학 강연 섭외
80	2026-05-29	표창원	224301276584	[표창원 섭외] 대한민국 대표 프로파일러, 기업 특강·안전 교육·리더십 강연 섭외
81	2026-05-29	강연섭외	224301992790	[강연섭외] 기업 특강·시무식·컨퍼런스 강연자 섭외 가이드
82	2026-05-29	신동엽	224301993242	[신동엽 섭외] 국민 MC·개그맨, 기업 행사·시상식·토크쇼 진행 섭외
83	2026-05-31	김상욱	224301993630	[김상욱 섭외] 떨림과 울림의 물리학자, 기업 과학인문학 특강·청소년 강연·대학 컨퍼런스 섭외
84	2026-06-01	손미나	224303195666	[손미나 섭외] 전 아나운서·베스트셀러 여행작가, 기업 동기부여·인생 2막·힐링 강연 섭외
85	2026-06-01	홍진경	224303196369	[홍진경 섭외] 공부왕찐천재 만능 방송인, 기업 동기부여·소통·토크콘서트 강연 섭외
86	2026-06-01	이금희	224303196898	[이금희 섭외] 국민 아나운서의 공감과 소통, 기업 말하기·대화법·소통 리더십 강연 섭외
87	2026-06-01	알베르토몬디	224304122536	[알베르토 몬디 섭외] 비정상회담 이탈리아 대표 방송인, 글로벌·문화·소통 강연 섭외
88	2026-06-01	박세리	224304123897	[박세리 섭외] 골프 여제·국민 영웅의 도전 정신, 기업 동기부여·리더십 강연 섭외
89	2026-06-01	켈리최	224304124231	[켈리최 섭외] 켈리델리 회장·웰씽킹 저자, 기업 자기계발·성공 마인드 강연 섭외
90	2026-06-03	강원국	224305164211	[강원국 섭외] 두 대통령의 글을 쓴 글쓰기 전문가, 기업 커뮤니케이션·글쓰기 교육·리더십 강연 섭외
91	2026-06-03	임홍택	224305164705	[임홍택 섭외] 90년생이 온다 저자, 기업 조직문화·세대소통·MZ 마케팅 강연 섭외
92	2026-06-03	박용후	224305165088	[박용후 섭외] 관점디자이너가 말하는 생각의 전환, 기업 마케팅·혁신 특강·리더십 강연 섭외
93	2026-06-04	전현무	224305724100	[전현무 섭외] KBS·MBC 연예대상 국민 MC, 기업 행사 진행·토크콘서트·동기부여 강연 섭외
94	2026-06-04	홍혜걸	224305724630	[홍혜걸 섭외] 대한민국 1호 의사 출신 의학전문기자, 기업 건강 특강·임직원 헬스케어·ESG 강연 섭외
95	2026-06-04	박항서	224305725629	[박항서 섭외] 베트남 축구 영웅 파파 리더십, 기업 동기부여·리더십 특강·스포츠 컨퍼런스 섭외
96	2026-06-04	이시영	224307262791	[이시영 섭외] 배우 겸 복싱 챔피언의 도전 스토리, 기업 동기부여·여성 리더십·자기계발 강연 섭외
97	2026-06-04	남희석	224307263091	[남희석 섭외] 전국노래자랑 MC·국민 개그맨, 기업 행사 진행·토크콘서트·유머 소통 강연 섭외
98	2026-06-04	이정모	224307264328	[이정모 섭외] 털보 관장 과학 커뮤니케이터, ESG·과학인문학·청소년 강연 섭외
99	2026-06-06	강신주	224307798942	[강신주 섭외] 사랑과 자유의 철학자, 기업 인문학 특강·리더십 포럼·조직문화 강연 섭외
100	2026-06-06	이상화	224307799241	[이상화 섭외] 올림픽 2연패 빙속 여제, 기업·청소년 도전 강연·동기부여 특강 섭외
101	2026-06-06	박지성	224307799571	[박지성 섭외] 아시아 최초 맨유 레전드, 기업 리더십 특강·동기부여 강연·스포츠 정신 포럼 섭외
