# mih_agency 발행 목록 (총 100건)
No	발행일	인물/키워드	logNo	제목
22	2026-05-14	동방신기	224285715617	[동방신기 섭외] 주문·Rising Sun K-POP 1세대 레전드, 기업 갈라쇼·브랜드 이벤트·아시아 투어 섭외
23	2026-05-14	투모로우바이투게더	224285716174	[투모로우바이투게더 섭외] 7연속 밀리언셀러 글로벌 보이그룹, 기업 갈라쇼·브랜드 이벤트·K-POP 페스티벌 섭외
24	2026-05-14	폴킴	224286749057	[폴킴 섭외] '모든 날 모든 순간' 감성 싱어송라이터, 기업 디너쇼·갈라 콘서트·시상식 섭외
25	2026-05-14	몬스타엑스	224286750055	[몬스타엑스 섭외] 'Love Killa·Rush Hour' 글로벌 보이그룹, 기업 갈라쇼·K-POP 페스티벌·브랜드 이벤트 섭외
26	2026-05-14	캣츠아이	224286750560	[캣츠아이 섭외] HYBE×Geffen 글로벌 걸그룹, 코첼라·그래미 노미네이션, 기업 갈라쇼·K-POP 페스티벌 섭외
27	2026-05-14	포레스텔라	224286751988	[포레스텔라 섭외] 팬텀싱어2 우승 크로스오버 4중창, 기업 갈라쇼·클래식 특별공연·시상식 섭외
28	2026-04-28	키스오브라이프	224287558140	[키스오브라이프 섭외] 실력파 핫걸 무대, 대학 축제·브랜드 팝업 섭외
29	2026-05-05	김민석	224287558760	[김민석(멜로망스) 섭외] 선물 보컬, 결혼식 축가·기업 송년회·시민 음악회 섭외
30	2026-04-29	인순이	224287559257	[인순이 강연 섭외] 다문화·도전·자존감 메시지, 기업 특강·공공기관 교육 섭외
31	2026-05-17	로맨틱펀치	224289206858	[로맨틱펀치 섭외] 낭만자객 록 밴드, 대학 축제·브랜드 페스티벌 섭외
32	2026-05-17	이소나	224289211370	[이소나 섭외] 미스트롯4 진 국악 트롯 보컬, 지역 축제·효도 콘서트 섭외
33	2026-05-17	진해성	224289215089	[진해성 섭외] 트롯전국체전 우승·니가니가 정통 트로트 왕자, 지역 축제·기업 행사·트로트 콘서트 섭외
34	2026-05-17	김다현	224289217276	[김다현 섭외] 미스트롯2 3위·꽃처녀 청학동 국악 트로트 신동, 지역 축제·기업 행사·트로트 콘서트 섭외
35	2026-05-06	이찬원	224289493546	[이찬원 섭외] 세대를 잇는 트롯테이너, 지역 축제·기업 행사·콘서트 섭외
36	2026-05-05	비트펠라하우스	224289494460	[비트펠라하우스 섭외] 입소리 퍼포먼스, 대학 축제·브랜드 행사 섭외
37	2026-04-29	민경훈	224289495922	[민경훈 섭외] 록발라드 감성 보컬, 대학 축제·기업 행사 섭외
38	2026-05-05	김필	224289496596	[김필 섭외] 깊은 감성 싱어송라이터, 기업 행사·대학 축제 섭외
39	2026-05-19	아일릿	224290676281	[아일릿 섭외] 빌보드 강타 5세대 대표 걸그룹, 대학 축제·브랜드 행사·기업 공연 섭외
40	2026-04-27	QWER	224290680409	[QWER 섭외] 직접 연주하는 걸밴드 라이브, 대학 축제·인디 페스티벌·브랜드 팝업 섭외
41	2026-05-21	선미	224291995716	[선미 섭외] 가시나·주인공 K-POP 솔로 아이콘, 기업 행사·브랜드 이벤트·대학 축제 섭외
42	2026-05-19	이수연	224291997118	[이수연 섭외] 현역가왕3 TOP7 트로트 국민손녀·미소천사, 지역 축제·기업 행사·효도 공연 섭외
43	2026-05-20	홍진영	224291997378	[홍진영 섭외] 오늘밤에·엄지척 트로트 국민 디바, 지역 축제·기업 행사·디너쇼 섭외
44	2026-05-20	트리플에스	224291997734	[트리플에스 섭외] Girls Never Die·깨어 K팝 24인 걸그룹, 대학 축제·기업 행사·브랜드 이벤트 섭외
45	2026-05-19	신인선	224291998139	[신인선 섭외] 트로트·뮤지컬 넘나드는 만능 엔터테이너, 기업행사 축하공연 송년회 섭외
46	2026-05-21	박혜신	224292322539	[박혜신 섭외] 트롯 디바 감성 라이브, 지역 축제·기업 행사·공공기관 행사 섭외
47	2026-05-20	룰라	224292323375	[룰라 섭외] 날개잃은천사·3!4! 90년대 댄스팝 레전드, 기업 행사·지역 축제·복고 콘서트 섭외
48	2026-05-22	마마무	224293581308	[마마무 섭외] 데뷔 12주년 완전체 파워보컬 4인조, 기업 행사·브랜드 갈라쇼·K-POP 페스티벌 섭외
49	2026-05-22	에이핑크	224293582211	[에이핑크 섭외] 데뷔 15주년 청순 레전드 5인조, 기업 행사·대학 축제·K-POP 페스티벌 섭외
50	2026-05-22	자이언티	224293583051	[자이언티 섭외] 독보적 R&B 감성·양화대교의 그 목소리, 기업 갈라쇼·브랜드 행사·뮤직 페스티벌 섭외
51	2026-05-12	소녀시대	224294508893	[소녀시대 섭외] 다시 만난 세계 18주년 K-POP 레전드, 기업 갈라쇼·브랜드 이벤트·페스티벌 섭외
52	2026-05-21	비비	224294510001	[비비 섭외] 밤양갱·BUMPA 감성 R&B 팝 아티스트, 브랜드 행사·대학 축제·페스티벌 섭외
53	2026-05-22	악동뮤지션	224294510529	[악동뮤지션 섭외] 남매 싱어송라이터 듀오·Love Lee 낙하, 기업 행사·음악 페스티벌·브랜드 갈라쇼 섭외
54	2026-05-23	성시경	224294520322	[성시경 섭외] 대한민국 국민 발라더, 기업 송년 공연·결혼 축가·야외 콘서트 섭외
55	2026-05-17	남진	224295073324	[남진 섭외] 가슴 아프게·님과 함께 데뷔 60주년 트로트 레전드, 지역 축제·기업 행사·트로트 콘서트 섭외
56	2026-05-23	멜로망스	224295077747	[멜로망스 섭외] 선물·동화 피아노 발라드 듀오, 기업 갈라 공연·결혼 축하·대학 축제 섭외
57	2026-05-23	브레이브걸스	224295078446	[브레이브걸스 섭외] 롤린 역주행 신화 걸그룹, 기업 행사·지역 축제·대학 축제 섭외
58	2026-05-23	있지	224295078759	[있지 섭외] JYP 걸크러시 그룹 ITZY, K-POP 콘서트·브랜드 행사·대학 축제 섭외
59	2026-05-07	위시	224295960166	[NCT WISH 섭외] 청량한 희망 에너지 K-POP, 대학 축제·브랜드 행사 섭외
60	2026-05-23	이승철	224295961067	[이승철 섭외] 39년 경력 대한민국 대표 발라드 스타, 기업 창립기념·VIP 감사 행사·지역 문화 행사 섭외
61	2026-05-23	에픽하이	224295961537	[에픽하이 섭외] 한국 힙합의 아이콘, 기업 사내 콘서트·브랜드 행사·대학 축제·야외 뮤직 페스티벌 섭외
62	2026-05-06	행사공연	224297560887	[행사공연] 기업 행사와 지역 축제에 맞는 공연팀 섭외 가이드
63	2026-05-26	조진세	224297561373	[조진세 섭외] 숏박스 개그맨, 기업 행사·대학 축제·브랜드 콘텐츠 섭외
64	2026-05-26	김원훈	224297561652	[김원훈 섭외] 숏박스 개그맨, 기업 행사·대학 축제·브랜드 콘텐츠 섭외
65	2026-05-27	위너	224298250233	[위너 섭외] REALLY REALLY·공허해 YG 보이그룹, 기업 갈라쇼·대학 축제·브랜드 이벤트 섭외
66	2026-05-27	지코	224298250830	[지코 섭외] Any Song·SPOT! KOZ 대표 솔로 래퍼, 기업 행사·대학 축제·브랜드 이벤트 섭외
67	2026-05-27	박효신	224298309489	[박효신 섭외] 시대를 초월한 발라드 황제, 기업 행사·콘서트·갈라쇼 섭외
68	2026-05-27	갓세븐	224298310538	[갓세븐 섭외] 7인 완전체 글로벌 케이팝, 기업 행사·대학 축제·지역 축제 섭외
69	2026-05-27	아이콘	224299084568	[아이콘 섭외] 국민 케이팝 그룹, 기업 행사·대학 축제·지역 페스티벌 섭외
70	2026-05-27	2PM	224299085643	[2PM 섭외] 짐승돌 퍼포먼스의 완성, 기업 행사·대학 축제·지역 공연 섭외
71	2026-05-27	황치열	224299086426	[황치열 섭외] 끝이라고·그대는 날 잊고 감성 발라더, 기업 디너쇼·콘서트·이벤트 섭외
72	2026-05-27	케이윌	224299087637	[케이윌 섭외] 이러지마 제발 R&B 발라드 보컬, 기업 행사·대학 축제·디너쇼 섭외
73	2026-05-27	정동원	224300274651	[정동원 섭외] 미스터 트롯 TOP6 트롯 청춘스타, 기업 행사·지역 축제·콘서트 섭외
74	2026-05-27	이승기	224300275116	[이승기 섭외] 내 여자라니까 가수·배우·MC 국민 엔터테이너, 기업 행사·브랜드 이벤트 섭외
75	2026-05-27	태진아	224300275625	[태진아 섭외] 동반자·사랑은 아무나 하나 트롯 레전드 50년 현역, 기업 행사·효 콘서트·지역 축제 섭외
76	2026-05-27	홍자	224301272310	[홍자 섭외] 눈물의 술잔·화양연화 트롯 여신, 기업 행사·지역 축제·콘서트 섭외
77	2026-05-28	스테이씨	224301273109	[스테이씨 섭외] 청량 걸크러시 4세대 아이돌, 기업행사·대학축제·브랜드행사 섭외
78	2026-05-28	박군	224301273374	[박군 섭외] 트로트 특전사 박군, 기업 행사·지역 축제·대학 축제 섭외
79	2026-05-28	주현미	224301273878	[주현미 섭외] 트로트의 여왕, 기업 행사·지역 축제·디너쇼 섭외
80	2026-05-29	트로트섭외	224301955999	[트로트섭외] 지역 축제·기업 행사·효도 콘서트에 맞는 트로트 가수 섭외
81	2026-05-29	전소미	224301986897	[전소미 섭외] 글로벌 K-팝 솔로 아이콘, 기업 행사·브랜드 팝업·대학 축제 섭외
82	2026-05-30	10CM	224301990315	[10CM 섭외] 봄이 좋냐·스토커 감성 어쿠스틱 아티스트, 기업 행사·대학 축제·뮤직 페스티벌 섭외
83	2026-05-29	유튜버섭외	224303204841	[유튜버섭외] 브랜드 캠페인과 토크 콘서트 크리에이터 섭외 가이드
84	2026-05-30	거미	224303205150	[거미 섭외] You Are My Everything 국민 OST 디바, 기업 행사·디너쇼·콘서트 섭외
85	2026-05-31	박서진	224303205439	[박서진 섭외] 장구의 신·트로트 청춘스타, 지역 축제·기업 행사·전국노래자랑 섭외
86	2026-05-29	인플루언서섭외	224304126281	[인플루언서섭외] 브랜드 캠페인·팬미팅·SNS 이벤트 섭외 가이드
87	2026-05-31	박정현	224304126646	[박정현 섭외] 한국의 디바·꿈에, 기업 갈라쇼·시상식·콘서트 공연 섭외
88	2026-05-31	윤도현	224304127064	[윤도현 섭외] YB·대한민국 록 레전드, 기업 행사·대형 콘서트·문화 공연 섭외
89	2026-05-29	아이돌섭외	224305161262	[아이돌섭외] 기업 갈라쇼·대학 축제·브랜드 이벤트 K-POP 아이돌 섭외 가이드
90	2026-05-31	데이식스	224305161819	[데이식스 섭외] JYP 밴드·예뻤어, 대학 축제·기업 콘서트·브랜드 행사 섭외
91	2026-05-31	엔믹스	224305163479	[엔믹스 섭외] NMIXX·JYP 차세대 걸그룹, 대학 축제·브랜드 행사·K-팝 공연 섭외
92	2026-05-31	버즈	224305728437	[버즈 섭외] 가시·록발라드 밴드, 대학 축제·기업 행사·콘서트 섭외
93	2026-05-31	플라이투더스카이	224305728770	[플라이투더스카이 섭외] MissingYou·R&B 듀오, 기업 행사·갈라쇼·콘서트 섭외
94	2026-05-31	엔플라잉	224305729179	[엔플라잉 섭외] N.Flying·FNC 하이브리드 밴드, 대학 축제·기업 행사·콘서트 섭외
95	2026-05-31	브라운아이드소울	224307265583	[브라운아이드소울 섭외] 나얼·R&B 4중창, 기업 갈라쇼·시상식·콘서트 섭외
96	2026-05-31	샘김	224307266428	[샘김 섭외] 여름비·Make Up, 브랜드 행사·소규모 콘서트·감성 공연 섭외
97	2026-05-31	솔지	224307266618	[솔지 섭외] EXID 리더·메인보컬의 폭발적 가창력, 기업 행사·대학 축제·공연 섭외
98	2026-05-31	오반	224307800663	[오반 섭외] 감성 힙합 싱어송라이터, 기업 행사·대학 축제·브랜드 콘서트 섭외
99	2026-06-06	씨스타	224307801051	[씨스타 섭외] 나혼자·Shake It 여름 여왕 걸그룹, 기업 갈라쇼·브랜드 이벤트·대학 축제 섭외
100	2026-06-06	티아라	224307801327	[티아라 섭외] Roly Poly·보핍보핍 K-POP 레전드 걸그룹, 기업 갈라쇼·대학 축제 섭외
